Feature,Train Losses,Test Losses
deltameanrat,"[0.16319719013178124, 0.15441225834612576, 0.15528234839439392, 0.1554919090473427, 0.15524643519014683, 0.1500264861673679, 0.10756008523815083, 0.08236265252783613, 0.06509749605408255, 0.05824170029669438, 0.04533331925576588, 0.03052747200401324, 0.02367459037253317, 0.020615917507488774, 0.018242867241771717, 0.01657669008973072, 0.014712767324076509, 0.013249335599676618, 0.01239413170600837, 0.01154069913516067, 0.010322562243156839, 0.013496201467823307, 0.015104376306792474, 0.013053779912023049, 0.010392167113440216, 0.009008643480966676, 0.008159210097114995, 0.007728193552707726, 0.007061138582187441, 0.006687793081169421, 0.006673203245297355, 0.006388311160130883, 0.00622133418636502, 0.0060531868564210976, 0.006740638889583215, 0.005666304634497413, 0.005626223735370726, 0.005537771285986001, 0.0054442440159618855, 0.0053857239402549445, 0.004976370231301154, 0.0048791307094946225, 0.004770405195161419, 0.004730581481642318, 0.0048675041575476806, 0.004854214316198848, 0.0058706963944407005, 0.006473793358243299, 0.004753139291731817, 0.004560432238680012, 0.004264214809737959, 0.004408998406088015, 0.004723634667483703, 0.004940047939220127, 0.0055752769112586975, 0.004559760008288442, 0.004151018099191616, 0.004318132926270647, 0.004360044440957454, 0.004525558126844325, 0.0041897651950283995, 0.003941432783766737, 0.0036234447671065354, 0.004205376928988492, 0.009214098090833088, 0.0073307229047816875, 0.006609069613985858, 0.004509052129919236, 0.0040012758515142605, 0.0038105611829965746, 0.0035389933453978234, 0.0034385473326832617, 0.003412433486994145, 0.003398623928111398, 0.0032420655677341064, 0.003479831140347809, 0.0031966620019443755, 0.0029872138764849812, 0.002913407564057775, 0.002865155337308094, 0.002840215261182133, 0.002768844554973942, 0.00278291505111276, 0.002682142350646966, 0.002736477958881911, 0.0026761685533203045, 0.002622331000583352, 0.0026695074487196385, 0.0026307351017405963, 0.0026479263368220825, 0.0025859400893579114, 0.002517641781179129, 0.0025499751571706445, 0.0025312174155535, 0.00248797635442384, 0.002466193703442531, 0.0024135459987622387, 0.0025038869243185474, 0.002413486244754409, 0.0024629383268853964]","[0.14940059847301906, 0.15084656355557619, 0.15121976700094011, 0.15119913717110953, 0.1504286444849438, 0.10687450954207668, 0.09028483347760306, 0.07156265554604707, 0.06367196722163095, 0.05301035223183809, 0.03830521084644176, 0.026981544508426276, 0.023188716352537827, 0.020890332206531807, 0.020557431228182935, 0.017716455169849925, 0.015730697178730258, 0.01464782293058104, 0.013563703607629847, 0.012197519583558594, 0.011495818521965432, 0.016659857567261765, 0.018949034175387135, 0.01118519850489166, 0.0100765703935866, 0.009432479635708861, 0.00978049211617973, 0.008452843702225774, 0.008134942087862227, 0.00791167843810938, 0.007578370195847971, 0.0075616795328204275, 0.007325612888154056, 0.007290189706340984, 0.007299963919514859, 0.006936690028480909, 0.007191033792440538, 0.006793026795127877, 0.006648303630451362, 0.006480422284868028, 0.006372350716480502, 0.006298382162909817, 0.006353614627625103, 0.006209235569393194, 0.006858965830394515, 0.008409154221967415, 0.010073196487846199, 0.007187123962298587, 0.006448822216717181, 0.005939505649385629, 0.005760228330338442, 0.006177593988400919, 0.006119322324930517, 0.005945360046569948, 0.006979288533329964, 0.005953661200624925, 0.006096730267422067, 0.005700313882833278, 0.007164331946384024, 0.005764456017425767, 0.005416954281153502, 0.005364053882658482, 0.005307600747242018, 0.013476144453441655, 0.0067361487351633885, 0.009337338756907869, 0.00679332599112833, 0.005987580882868281, 0.005605798249167425, 0.005241785457150804, 0.004974388672659795, 0.005351563449949026, 0.004972437448385689, 0.004720814181146798, 0.005362915013123442, 0.0049062698079204116, 0.004768659740134522, 0.004673304829608511, 0.0047114709978578265, 0.004650585094673766, 0.004595014007969035, 0.004680075768933252, 0.004664909887920927, 0.004515167360228521, 0.004569252487272024, 0.0044365256541857015, 0.004463253249586733, 0.004471820054782761, 0.004486361518502235, 0.004484151300318815, 0.004400620823381124, 0.004411047290044802, 0.004462422906524605, 0.0043811215156758275, 0.004519373057755055, 0.004264701899417021, 0.004497155202207742, 0.004383584001549968, 0.004403285837421815, 0.004698505832089318]"
deltaminrat,"[0.1001572349583203, 0.07971620868961767, 0.08049371332492468, 0.0806955134250083, 0.08062360309204965, 0.08006355517877722, 0.08020346211093776, 0.07929710523699815, 0.07986457027354331, 0.08002571761608124, 0.08000818457243578, 0.0799273318558369, 0.07980696379013781, 0.07965991631993707, 0.07950677792980985, 0.07934389839757164, 0.07917757866517552]","[0.07722210166630922, 0.07847859130965339, 0.07882309373882082, 0.07885517400723917, 0.07858188367552227, 0.07741196205218633, 0.07685111049148771, 0.07791219955241238, 0.07816383408175574, 0.07820273383899971, 0.07814711525484368, 0.07803368016525551, 0.07789399530048724, 0.07774661950491092, 0.0776036321013062, 0.07744309692471116, 0.07726136236279099]"
deltapctrat,"[0.22275303810272576, 0.18795991815486043, 0.12790205962253068, 0.10489488491472208, 0.09764883301730426, 0.0929620679257051, 0.08464359365544229, 0.07542595407872829, 0.06199729217673248, 0.047861241999099836, 0.036685803167100225, 0.029240750690113823, 0.024840980100463022, 0.02142716740381043, 0.018732531312501657, 0.016503700037609856, 0.014566950113424714, 0.01304547490446635, 0.012165421760588322, 0.012095016972073968, 0.011755203195619133, 0.012014792845496591, 0.010156777494077413, 0.01027982604672324, 0.008983745907415758, 0.008563395097570599, 0.007915629407847827, 0.0075179943814873695, 0.007660668694748069, 0.007196994884958807, 0.006778069622463213, 0.006567210328044757, 0.006436065428029254, 0.006348296666060979, 0.006631963947823025, 0.012564805828316032, 0.015071412583567062, 0.010734294769617746, 0.010299039301726053, 0.00887554162621217, 0.008132410736508527, 0.006595165802622741, 0.0057731350216100805, 0.0053960781386297825, 0.0052000173402704155, 0.005074831086017613, 0.004941115586333118, 0.0047454588062498925, 0.0046386466414298656, 0.004687658660465254, 0.0046353583962146965, 0.004485392380716666, 0.004436956085967568, 0.004312173366757497, 0.0044548342461293595, 0.004358415773032971, 0.0041956105445212916, 0.004171280594507478, 0.004052344432873827, 0.004027598124559758, 0.004223696509692466, 0.0041029518030865015, 0.004400951726326965, 0.0041500359931784985, 0.004804966742840578, 0.004649544943053767, 0.003954768989164874, 0.004409792182861634, 0.00444514597853962, 0.0036392206466704046, 0.0035570435674052757, 0.0034603407729487373, 0.0035059735627036613, 0.0035699123630897616, 0.003608800066670157, 0.0034355220718766157, 0.0035626799184477554, 0.003572260811573492, 0.003666272004714833, 0.0035827954317320066, 0.003338681485609345, 0.0031365174536575687, 0.003150510838923027, 0.003046388052544504, 0.003165689859328405, 0.003090076376947592, 0.0031107157591800643, 0.0029380551477859044, 0.002830032127434915, 0.002837198979730876, 0.0028474528939937647, 0.0027647605429421056, 0.0028399800187644533, 0.0028771849278852626, 0.0029771208130526094, 0.0029881116406956934, 0.003046981019477518, 0.003229560132823744, 0.003373934975210226, 0.003551723923147568]","[0.21593964320641976, 0.13607503749706126, 0.11967501209841834, 0.10677549270568071, 0.10460625616488634, 0.0929691156855336, 0.08734261437698647, 0.07445954779783885, 0.0575475913506967, 0.043950599514775805, 0.03453924134373665, 0.02932021173614043, 0.026234448025072063, 0.022978698903763736, 0.020977390585122286, 0.018165314777029887, 0.01602329086098406, 0.015113670171962844, 0.014691395823050428, 0.013696191728942923, 0.015159836556348536, 0.011587568765713109, 0.011682865451331492, 0.010655738171879892, 0.010941533889207575, 0.010215849684620346, 0.009292482432943804, 0.009954916485757739, 0.008953935777147612, 0.008556698966357443, 0.00832315275652541, 0.00846983626898792, 0.008481627226703696, 0.008227792706478524, 0.008483800554165134, 0.023894939433645318, 0.01247228975235312, 0.017711293573180836, 0.012964431782839474, 0.012979312420443253, 0.009085632446739409, 0.007855742065994828, 0.007459543024500211, 0.007481462529136075, 0.00716862549867343, 0.007080356831903811, 0.006864831662150445, 0.00683817443334394, 0.00668405710409085, 0.006726299774729543, 0.00673988930605076, 0.006620398118954014, 0.006488688893754173, 0.0066276755942790595, 0.006901606451719999, 0.00667344997809441, 0.006240208633244038, 0.006370775039411253, 0.006304440226543833, 0.006345411831582034, 0.006231020411683453, 0.006827041437780416, 0.006632715549871877, 0.008303248564954157, 0.006215853633841983, 0.00619234396489682, 0.00640333316254395, 0.008175755609516744, 0.005960895214229822, 0.0061296527791354395, 0.005876920030762752, 0.005875966166732488, 0.00604134568668626, 0.005970982472515768, 0.005730077175906411, 0.006059422019731115, 0.006312531677799093, 0.00585797147963334, 0.00583587053956257, 0.005878864735778835, 0.005946683455948476, 0.005603139426697184, 0.005647346273892456, 0.0054572356554369135, 0.005519002089621844, 0.005769793772035175, 0.005698132673623385, 0.005547761882620829, 0.0054313224671339545, 0.005604912009504106, 0.0053031058568093516, 0.005356837219248216, 0.005383084545394889, 0.005408584243721432, 0.005493045560325737, 0.005443973432260531, 0.0056575943060495236, 0.0055820318973726695, 0.005987139073786912, 0.00680930383020529]"
deltastdrat,"[0.006288956692618019, 0.005733200015043313, 0.005873368525842451, 0.005801392807010209, 0.005496220382035903, 0.005218733558958431, 0.005158893148994671, 0.004946034858530422, 0.004895268377127513, 0.004834513162385742, 0.004544414351430704, 0.0049912967842142535, 0.00504859370829643, 0.005025962842101196, 0.004967886119870082, 0.005423343828264272, 0.005127347074449062, 0.005334821494542203, 0.005403339731032556, 0.0054018397833097654]","[0.00522228556305722, 0.005483279763548462, 0.005479980691301602, 0.005305420158913842, 0.004793555656861927, 0.0048388361637653025, 0.004739715381421977, 0.004859949341388764, 0.004604499606001709, 0.004550809566690414, 0.004588163354330593, 0.004703241202083451, 0.0047024169126180584, 0.004657839812959234, 0.0045905609753120824, 0.004663490819641286, 0.004931896700765248, 0.0050324764947786375, 0.005055204723720197, 0.005006850378035947]"
deltathetamean,"[6.4059740417408495, 4.667794785409604, 4.267636964905937, 3.834447608803803, 3.3940867433008157, 3.154590078119962, 2.6080315877806464, 2.499614213997463, 2.2277552249296657, 1.85614224424902, 1.6932767562146456, 1.5547285079956055, 1.427811399945673, 1.3311110734939575, 1.2332052453508917, 1.1522823875805117, 1.105108085668312, 1.0417217274881758, 0.9612201677178437, 0.9135512585909862, 0.8621476101425459, 0.8276466794733731, 0.7872555773213225, 0.7525978470748326, 0.7337202722171567, 0.7044003560857953, 0.6732133075876056, 0.6589935095805042, 0.6395315651623708, 0.6262384203245055, 0.6075758371713027, 0.5877084732055664, 0.5779592068690174, 0.5610656175973281, 0.544322985523152, 0.5477530169037154, 0.5929796988109373, 0.8258912405877743, 0.7033673749779755, 0.872729037167891, 0.7915237894598043, 0.7011556704089327, 0.56610384639704, 0.5440598186456932, 0.5179218363087132, 0.5106782722023299, 0.49560941952579424, 0.47040500730838414, 0.4578864360755345, 0.46636119541132226, 0.4416165734237095, 0.4254619243010035, 0.42121311122516414, 0.4096156538657422, 0.4088781104897553, 0.397690160656875, 0.38890698889516434, 0.3999986193090115, 0.4109961379249141, 0.3946304017642759, 0.38589555474947085, 0.4669064755709666, 0.5925734965306408, 0.5153252561137361, 1.0393418748423737, 1.32998829067878, 0.9298179891874205, 0.7808546817527627, 0.77302788675956, 0.8769681802335775]","[6.646699870074237, 6.0754359209979025, 5.9381844555890115, 5.31961942602087, 5.232289084681758, 4.587316830952962, 4.454933749304877, 4.308619640491627, 3.7184783441049083, 3.537598804191307, 3.398000205004657, 3.1841340594821506, 2.9597460428873696, 2.8179774284362793, 2.6673549987651684, 2.586695573948048, 2.473486617759422, 2.3575376492959483, 2.2852659578676575, 2.2124562793307834, 2.1641150933724864, 2.098417794262921, 2.063694265153673, 2.0165085086116084, 1.9808660083346896, 1.971796327167087, 1.9484875202178955, 1.923358334435357, 1.9085982463977955, 1.9097858446615714, 1.877028844974659, 1.8405395172260426, 1.8177376676488806, 1.8221869733598497, 1.792140695783827, 1.7817247443728976, 1.8898351810596608, 1.9734804983492251, 2.0595600958223694, 2.0841999495470964, 1.8958720807675962, 1.8484828030621563, 1.7584891142668548, 1.7395538753933377, 1.7978556685977511, 1.740520194724754, 1.7562559180789523, 1.7026607637052182, 1.7006503564340096, 1.7284304300944011, 1.669237357598764, 1.651793329804032, 1.644863526026408, 1.6264062722524006, 1.6288415944134746, 1.6211602864442047, 1.630877936327899, 1.6577567082864266, 1.6405942263426605, 1.618459736859357, 1.6203528775109186, 1.8350739390761763, 1.7797935980337638, 2.0926128493414984, 2.4061375812247947, 2.3772143964414245, 2.309980798650671, 2.055222926316438, 2.2107667569760925, 1.9111360532266122]"
deltathetamin,"[0.9624956666298632, 0.7694833818471657, 0.8128798457811464, 0.7296501757963648, 0.6326505024478121, 0.5505772446686367, 0.477830061372721, 0.4081064951869677, 0.3493820091463485, 0.31147282640889007, 0.28399603237520976, 0.2617849679488056, 0.24273419014687808, 0.22805552437620344, 0.203099842903749, 0.18605496284534345, 0.17432261469229213, 0.16557423798543103, 0.15769166907049575, 0.15274877312048427, 0.14283584676823527, 0.1380109299185141, 0.12964383133177487, 0.12469873647644834, 0.12095654432503682, 0.1145235945312482, 0.10967454974943737, 0.1060158779036324, 0.10311559939159537, 0.10195079305261937, 0.09951786415756873, 0.09569175864727993, 0.09494300594307342, 0.09274083938238756, 0.10313424144713383, 0.14507434854529938, 0.18863956883268537, 0.19789961486492516, 0.18026540526803933, 0.15585298287980962, 0.12813242060958213, 0.13779576122760773, 0.13654508343282737]","[0.9762368687876949, 1.1818975651705708, 1.112999063950998, 0.9494306842486063, 0.8169603612687852, 0.7511937022209167, 0.6590225122593067, 0.5806826662134241, 0.5410446877832766, 0.5185292296939426, 0.4991311850371184, 0.4715220398373074, 0.45963788584426596, 0.4363937322740202, 0.41360206184563814, 0.39906027913093567, 0.3865648552223488, 0.37640002259501704, 0.37685597163659557, 0.3632272724752073, 0.3546327396675392, 0.3541958834286089, 0.34549778092790534, 0.34424427648385364, 0.3366525923764264, 0.333886017953908, 0.3335058650484792, 0.3310664003645932, 0.32821944300775174, 0.3316128745123192, 0.3242865558023806, 0.32481148563049456, 0.32228897898285475, 0.32709494674647294, 0.32447080258969907, 0.4634608637403559, 0.4164371501516413, 0.5691148627687383, 0.46768073903189766, 0.35799585558750013, 0.3536815532931575, 0.3488421638806661, 0.35302881123843016]"
deltathetapct,"[24.763635887289947, 18.097485704242057, 16.647538742929136, 15.28127753059819, 14.090319399563771, 12.451582341823938, 10.497304817415634, 8.935415951710826, 7.895229942393753, 7.220288042752248, 6.6708234571061045, 6.3080575781048465, 6.013276082164836, 5.674061631256679, 5.589133595520595, 5.609347217487839, 5.8411433201915814, 5.802904929754869, 5.261705911384438, 4.951193008782728, 5.2716729595976055, 5.351806393209493, 5.9167498012758655, 6.144723127473076, 6.146141394129339, 5.922417955578498, 5.258566190611641, 5.059521189275777, 4.581870933748641, 4.488706786677523, 4.579121049844994, 3.8111356969149606, 3.708420879435989, 3.520717148510915, 3.509854555130005, 3.2930582604318297, 3.222676025246674, 3.1797112383932435, 3.2721902514403722, 3.1290343212631515, 2.997820939657823, 2.9187833453124425, 2.861713377934582, 2.8131056101817005, 2.7424585481859602, 2.703009861820149, 2.653000188323687, 2.5847839769327416, 2.5234991559442483, 2.478159985452328, 2.4372631288924307, 2.3748884560926906, 2.3427905631515213, 2.2840397672833137, 2.2558156319384306, 2.2858014938966282, 2.256682000070248, 2.1858408271141774, 2.2119953070046767, 2.1625257618022413, 2.193592264967145, 2.2337990864267887, 2.8359467173522375, 3.143303826170148, 3.068973280348868, 2.7323732825945006, 2.4123410278896116, 2.1084149513604507, 1.943098376382072]","[31.812944341588903, 29.534931748001664, 29.217976181595414, 27.590530254222728, 26.343217920373988, 23.934219784206814, 21.190256895842374, 19.363664697717738, 17.829014318960684, 16.58838427508319, 15.315416547987196, 14.650026392053675, 13.882260145964446, 13.370694054497612, 12.31046344615795, 12.376335850468388, 13.477024219654224, 12.270636664496529, 11.470446198074907, 11.344180707578305, 13.039672710277417, 13.179305535775644, 14.30519457216616, 12.581401471738461, 10.663729844269929, 13.59985895510073, 12.010078995316118, 10.282803358855071, 11.558145734998915, 11.301408626415112, 10.24193975660536, 10.681301328870985, 10.188298755221897, 9.973959322328922, 9.833846904613354, 9.816958957248264, 9.63635900285509, 9.655474380210594, 9.759932977181894, 9.614531163816098, 9.536990624886972, 9.556883176167807, 9.401370825590911, 9.387716929117838, 9.37518236372206, 9.413000318739149, 9.390490108066135, 9.344896245885778, 9.319954306991011, 9.228119143733272, 9.291678887826425, 9.329622551246926, 9.24868428265607, 9.165728957564742, 9.344186500266746, 9.276634922734013, 9.363447083367241, 9.270043938248246, 9.127183772899487, 9.23675176832411, 9.381086455451118, 9.382146340829355, 9.639646812721535, 9.4842641265304, 10.411020632143375, 9.510003513760036, 9.988779915703667, 9.344427603262442, 9.215764151679146]"
deltathetastd,"[2.0051884471245534, 1.4919227181740526, 4.308000847978412, 2.2404870087245725, 2.241000456630059, 2.2409725369147533, 2.2406729369793297, 2.2401805058965145, 2.239509978384342, 2.238410470620641, 2.235755688739273]","[2.9498801407990634, 2.9751658616242587, 3.2971836196051703, 3.298048743495235, 3.298151387108697, 3.2978635717321327, 3.2976422486481844, 3.2971197764078775, 3.296372060422544, 3.295519563886854, 3.270328998565674]"
geomeanamp,"[23.623628886240834, 20.56281849123397, 21.281671398090868, 17.541009156209117, 16.24905525063569, 15.46677976284387, 15.156994549733287, 14.958952381925762, 14.494666009579065, 13.803707770581516, 13.221129093530044, 12.308648577276266, 11.214856800043359, 10.4054706366557, 9.480119426295442, 7.85949012468446, 6.421164476646568, 5.731755976407033, 6.442778623329018, 6.207793208788026, 5.042528755259964, 4.719035760411677, 4.4493819902528005, 5.068680124462776, 4.91186186952411, 4.471396050363217, 3.944880926384116, 3.911279817797103, 3.339990109767554, 3.2222866112331174, 2.955889238501495, 2.9110853806981503, 2.838108386633531, 2.7284066294724085, 2.670214302134964, 2.5962881007284486, 2.5813222201365345, 2.4599057323527784, 2.5653616347402894, 2.6268725102802493, 2.4680872503316627, 2.501518060576241, 2.3773324894455246, 2.524920274626534, 2.501128522854931, 2.2180752214395776, 2.096708174021739, 2.0055166865294836, 1.924398291785762, 1.9002335701348647, 1.892920026239359, 1.8471529731210672, 1.746303972208275, 1.7139474760811284, 1.7375022060466263, 1.6292559965601507, 1.6142078210722726, 1.8760493836312924, 1.7386149752814815, 1.7148992295535106, 1.5344162594597295, 1.6547302929860241, 1.617520680967367, 1.3868865978043035]","[21.307712731537997, 19.818687862820095, 19.673667130646884, 18.23063020352964, 17.553889945701318, 17.04054150757966, 16.923594969290274, 16.57230387793647, 15.495346493191189, 14.75197477693911, 14.09847496174, 13.250200483534071, 12.302500901398835, 11.655045509338379, 11.461342299426043, 11.52253297523216, 11.741451404712818, 12.306201687565556, 11.660375347843877, 11.344687691441289, 11.871778947335702, 11.690559616795293, 12.608233098630551, 13.073670846444589, 11.361985524495443, 11.814459730077672, 12.043559922112358, 10.730168766445583, 10.744263101507116, 10.627305684266267, 10.677595686029505, 10.703477894818342, 10.670635982795998, 10.533215045928955, 10.498412485475894, 10.48643414179484, 10.437720510694716, 10.580279862439191, 10.376198256457293, 10.725143750508627, 10.386174820087573, 10.473037278210676, 10.814892927805582, 10.267832897327564, 10.549179448021782, 10.21427912182278, 10.237950695885552, 10.244403344613534, 10.269566200397632, 10.390603401042798, 10.185217115614149, 10.226842279787418, 10.308959678367332, 10.116016017066109, 10.204837763750994, 10.465542404739946, 10.418105655246311, 10.242052802333125, 10.296696892491093, 10.605838775634766, 10.147896607716879, 10.659091384322554, 10.25983100467258, 10.67429886923896]"
harmmeanamp,"[2.0759478942403256, 1.8729944386572208, 1.7194126158390406, 1.6093328145315062, 1.540012557551546, 1.499023344156877, 1.4808321269053333, 1.431324175506268, 1.4085645529459108, 1.3514914338318806, 1.2892445404574555, 1.2013246507014868, 1.0973433048095342, 1.0065569087581814, 0.9950996679517458, 0.8503925148046242, 0.7139047586692954, 0.8171055092001861, 1.8965416516897813, 2.247068985453192, 2.1815037963525303, 2.0825760679424934, 1.8675911201621003, 1.6272595626003337, 1.2867105805648948, 0.8490593658303315]","[1.1941918951493722, 1.5210591797475461, 1.300548376860442, 1.2117505294305306, 1.1363667470437508, 1.113162914911906, 1.0540876167791862, 1.02893833760862, 0.9846403267648485, 0.9251605404747857, 0.8423384152076863, 0.7729000062854202, 0.7167770597669814, 0.7019164771945389, 0.7028683909663448, 0.6552576212971298, 0.77092237384231, 1.7455149911068104, 1.8122313817342122, 1.8054243171656574, 1.7988219989670649, 1.7484878698984783, 1.2196684656319794, 1.2797067474435877, 1.0677929012863725, 0.8269212952366581]"
kurtavg,"[31.381861092909325, 40.715384789232935, 36.32165894418392, 36.32493922395526, 36.321549469569945, 36.31665873977373, 36.31087846576043, 36.02994454581783, 30.763101253869397, 25.093964486751915, 21.357664072288657, 17.216760707351398, 14.178583918877369, 12.12780602473133, 10.283250394857154, 9.43102781727629, 8.732514075513157, 8.184548234039882, 7.80398047645137, 7.372734339732044, 6.935883450058271, 6.615242832111862, 6.243861378363843, 5.998804137391864, 5.660270371527042, 5.595840076230607, 5.1486859951379165, 5.001667272369817, 4.833799546619631, 4.744947797847244, 4.529542041274737, 4.401182683009021, 4.297191179023598, 4.269905495193769, 4.495324015617371, 4.803287668048211, 4.741948717045334, 4.239799346563951, 4.36104919775477, 4.411751886583724, 4.374646897585887, 4.638359996507752]","[35.97136257312916, 48.752974616156685, 48.759644755610715, 48.758734455815066, 48.753902717872904, 48.74771492569535, 48.74063541271068, 46.49543755142777, 39.24274225588198, 35.34806703638147, 31.305660883585613, 28.210997546160662, 25.49149866457339, 23.064552271807635, 21.879668800919145, 21.23226006825765, 20.932063597219962, 20.66567548116048, 20.438042428758408, 19.75679648364032, 19.46341037750244, 18.993457229049117, 18.821579721238876, 18.129936394868075, 17.888661137333624, 17.399283091227215, 17.45010178177445, 17.17181467126917, 17.142519385726363, 16.89538033803304, 16.697806005124693, 16.402319696214462, 16.649236149258083, 16.727790585270636, 18.18006088115551, 18.49345341435185, 17.128697148075812, 16.44141493903266, 17.548390847665292, 17.071896659003365, 17.719558963069208, 17.693020785296405]"
linelengthmean,"[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]","[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]"
lv_l10,"[0.21521165489025837, 0.20954741115839975, 0.13751078621958787, 0.0977297345141195, 0.08515354358362702, 0.0784089541379011, 0.07207365207514672, 0.06277144313702043, 0.049402371470658284, 0.03737874272859321, 0.029856655078957666, 0.02593237449819187, 0.022592359661774815, 0.020469464221090642, 0.018351686696680088, 0.016363241586763905, 0.014868175294601693, 0.013401814384983396, 0.012566699681557575, 0.011846914799567664, 0.011142382995699937, 0.010762610367305999, 0.0134197297453318, 0.017115761912515702, 0.014296142964289998, 0.010220121873437234, 0.009430099577414539, 0.008737932776434804, 0.008151271635279903, 0.0078051336865239546, 0.007534863884156605, 0.007309485174153211, 0.00707425604099935, 0.006778571350535132, 0.0064947414739092565, 0.006492782630166918, 0.00757923905017241, 0.0075430498932892425, 0.00894184835817454, 0.0069755788382915955, 0.006249142248394355, 0.005927747379074681, 0.0057313283905386925, 0.005554576439536967, 0.005296379222341304, 0.0052932738765793024, 0.005089086559513268, 0.004919258570122831, 0.0050269649451914825, 0.00557269240325352, 0.015805512508553155, 0.01476557684605414, 0.009912655943618068, 0.007399040915704561, 0.0065350438608735234, 0.00616206255969855, 0.005341346191136904, 0.005177082616906121]","[0.1887997681343997, 0.13651315923090335, 0.10122541807315967, 0.08824311389967247, 0.08374611702230242, 0.0789672859289028, 0.07035246739784877, 0.05778984725475311, 0.04359332416896467, 0.03313946434193187, 0.030579271001948252, 0.026228479144197923, 0.02428892979191409, 0.02183782702518834, 0.020025398858167506, 0.018397007689431862, 0.016490027170490335, 0.015592044288361515, 0.014404200707320814, 0.0140795958124929, 0.01286620546684221, 0.012971022131818312, 0.012862384629746279, 0.01556951600920271, 0.013588250269768414, 0.012384778337070235, 0.01137319265830296, 0.010837595737366765, 0.010372626905639967, 0.010112465255790286, 0.01005450922443911, 0.009858465167107406, 0.00941085460147372, 0.009123365015343384, 0.009047639245788256, 0.009549302945810335, 0.01015826366427872, 0.015802721044531575, 0.010210620687791595, 0.008988705049786303, 0.008538465188057334, 0.008350885645658881, 0.008293939857847162, 0.008053620966772238, 0.007927075890755211, 0.007951139886346128, 0.007730720357762443, 0.0077138834253505425, 0.007715457843409644, 0.013107524494881983, 0.00978398243724196, 0.011103014047775004, 0.011805109955646374, 0.009444191706953224, 0.010332763884906416, 0.008013788265762505, 0.008135560555038628, 0.007770848632962616]"
lv_l20,"[0.29183178718359964, 0.20427692442570092, 0.14749371696193264, 0.12896951836235118, 0.11644677621013713, 0.10550165204507, 0.08959865401375969, 0.07103917487668542, 0.05115312970471832, 0.04096923044548845, 0.0329302810483946, 0.027671443193026307, 0.02377924917019763, 0.02045257565266681, 0.019926245904193736, 0.020922136370022344, 0.016161755008517572, 0.017015639868266177, 0.0226950651772742, 0.017696427726098952, 0.01681914003038744, 0.015081220939052556, 0.012913064925738101, 0.01267199105811569, 0.011528296747578765, 0.010008410339788446, 0.009536044742420034, 0.009300390592301791, 0.008895742039213766, 0.008155888684515684, 0.007665136969595586, 0.007399850893976554, 0.007289640069499893, 0.007379157433532319, 0.007473669023657183, 0.007786642637033507, 0.00769551444517554, 0.008019903622005345, 0.010022208129741111, 0.009822181900436024, 0.008232256485465562, 0.0070366770345366226, 0.006574069343085559, 0.0061390871568670815, 0.006072390710337544, 0.005711753466078696, 0.0055145351304057635, 0.005305197722506973, 0.005361710877140176, 0.008114832101987218, 0.034665002716037466, 0.01656492237212523, 0.013847262686434781, 0.009960269854175594, 0.007830950554530576, 0.006877117526699912, 0.006256013458489247]","[0.21439163662769176, 0.16899720827738443, 0.14236719133677306, 0.1261340539764475, 0.11820693700401871, 0.10282102944674315, 0.08307415164179272, 0.06036076805105916, 0.04541886584074409, 0.03870877526976444, 0.03380622562986833, 0.027967661343238973, 0.02417561280782576, 0.02265943441953924, 0.025178588374897285, 0.018858684571804823, 0.016617169396744833, 0.016363718305472976, 0.01614578806415752, 0.018290174918042287, 0.021751853533917002, 0.015965305613698782, 0.014073517104541813, 0.012423197911293418, 0.012487692689454113, 0.011367501449529771, 0.0115118733158818, 0.011087994539627322, 0.01036207195095442, 0.009833951446193236, 0.009522050377671365, 0.009288123636334031, 0.009487156652741961, 0.009507247557242712, 0.010199765295342163, 0.010585521761741903, 0.010244267475273874, 0.01563191876091339, 0.010188224070050099, 0.012642092761342172, 0.009349339124229219, 0.009022555900392708, 0.009035953803470841, 0.008783219106219433, 0.008314770646393299, 0.00794669675330321, 0.007656335106326474, 0.007964556174421752, 0.007928359425730176, 0.027011385118519818, 0.01618903958135181, 0.01683533488324395, 0.01495122395593811, 0.009656716069137608, 0.009571558726882493, 0.00827138491526798, 0.00818554732810568]"
lv_l5,"[0.1428198849536338, 0.11870065387689842, 0.11958209706364938, 0.11982287775795415, 0.11975431639068532, 0.1189351275844394, 0.10900282578648261, 0.11824409298177035, 0.11877870067672909, 0.11888011727692946, 0.11881830627625843, 0.11869056101115245, 0.1185210721110398, 0.11831016501165786, 0.11808328302401416, 0.1178106704972825]","[0.10197657181157006, 0.10327990629054883, 0.10364971613442456, 0.10369920923754021, 0.10339222351710002, 0.10141737703923825, 0.10172225093400036, 0.1026328057050705, 0.10281364178216015, 0.1027989321284824, 0.102711939977275, 0.10255878942984122, 0.10237949976214657, 0.10218483844289074, 0.10196505348991465, 0.10167978703975677]"
